PO Number,Supplier,Department,Category,PO Amount ($),PO Date,Amount Spent ($)
PO-0376,Supplier L,Finance,Software,20117,2026-01-24,16704.24
PO-0377,Supplier M,Clinical,Consulting,61882,2026-01-20,49888.05
PO-0378,Supplier N,Facilities,Software,85149,2026-07-10,76067.05
PO-0379,Supplier O,R&D,Lab Supplies,31610,2026-11-02,20684.87
PO-0380,Supplier P,Manufacturing,Consulting,146318,2026-09-21,107562.79
PO-0381,Supplier Q,Quality,Reagents,12755,2026-01-04,9868.45
PO-0382,Supplier R,Manufacturing,Lab Supplies,74516,2025-10-10,45315.87
PO-0383,Supplier S,Finance,Equipment,103626,2025-05-10,66594.35
PO-0384,Supplier T,R&D,Equipment,124253,2025-11-21,101178.94
PO-0385,Supplier U,Manufacturing,Consulting,6147,2025-05-23,4269.34
PO-0386,Supplier V,Manufacturing,Hardware,74244,2025-07-11,44904.44
PO-0387,Supplier W,Facilities,Equipment,5465,2027-02-24,5145.99
PO-0388,Supplier X,Clinical,Hardware,145173,2026-07-19,91068.15
PO-0389,Supplier Y,Clinical,Equipment,41100,2025-04-18,33517.25
PO-0390,Supplier Z,R&D,Office Supplies,38391,2026-02-15,31711.09
PO-0391,Supplier A,Manufacturing,Equipment,98345,2026-03-08,72425.55
PO-0392,Supplier B,Finance,Equipment,120209,2025-03-10,104065.66
PO-0393,Supplier C,R&D,Consulting,103277,2027-02-01,101593.7
PO-0394,Supplier D,Finance,Consulting,67556,2027-07-29,45134.85
PO-0395,Supplier E,Facilities,Equipment,8945,2026-01-27,7873.06
PO-0396,Supplier F,Facilities,Office Supplies,42747,2026-11-19,31207.56
PO-0397,Supplier G,Quality,Equipment,29845,2027-01-12,26006.12
PO-0398,Supplier H,Clinical,Software,114653,2026-02-11,95437.1
PO-0399,Supplier I,Clinical,Lab Supplies,8906,2027-01-08,7074.01
PO-0400,Supplier J,Facilities,Consulting,67458,2025-11-13,46565.19
PO-0401,Supplier K,Manufacturing,Lab Supplies,49863,2025-08-29,38084.61
PO-0402,Supplier L,Facilities,Reagents,41851,2025-10-15,39989.17
PO-0403,Supplier M,Clinical,Software,68505,2025-11-10,45452.26
PO-0404,Supplier N,Clinical,Equipment,70811,2026-09-07,44722.26
PO-0405,Supplier O,Manufacturing,Hardware,72132,2027-02-14,63652.15
PO-0406,Supplier P,Clinical,Lab Supplies,50291,2026-02-07,36148.9
PO-0407,Supplier Q,Clinical,Hardware,73887,2026-07-09,52994.0
PO-0408,Supplier R,IT,Consulting,138229,2027-02-16,135926.67
PO-0409,Supplier S,Facilities,Reagents,64687,2025-05-14,52957.74
PO-0410,Supplier T,Manufacturing,Equipment,104810,2026-09-15,96322.51
PO-0411,Supplier U,R&D,Hardware,30063,2027-09-19,24810.32
PO-0412,Supplier V,Manufacturing,Office Supplies,35841,2026-07-29,28505.07
PO-0413,Supplier W,IT,Lab Supplies,137683,2025-02-12,99374.44
PO-0414,Supplier X,Manufacturing,Reagents,144566,2027-08-16,143261.77
PO-0415,Supplier Y,Facilities,Equipment,116344,2025-02-04,114118.67
PO-0416,Supplier Z,Clinical,Office Supplies,122660,2025-12-11,91250.66
PO-0417,Supplier A,Clinical,Hardware,49339,2027-03-08,44774.3
PO-0418,Supplier B,R&D,Hardware,28797,2025-03-30,21346.89
PO-0419,Supplier C,IT,Software,98688,2026-04-28,77183.43
PO-0420,Supplier D,Quality,Hardware,91856,2026-10-25,85040.29
PO-0421,Supplier E,Clinical,Equipment,139986,2025-06-12,137821.77
PO-0422,Supplier F,Facilities,Office Supplies,30049,2027-04-23,18147.6
PO-0423,Supplier G,Facilities,Equipment,140955,2027-04-25,113250.53
PO-0424,Supplier H,R&D,Software,96076,2026-01-21,91495.93
PO-0425,Supplier I,IT,Office Supplies,7764,2025-12-24,7228.35
PO-0426,Supplier J,Finance,Equipment,85861,2025-02-13,82629.19
PO-0427,Supplier K,Manufacturing,Consulting,68266,2026-03-02,64369.2
PO-0428,Supplier L,IT,Consulting,90627,2027-07-30,62577.48
PO-0429,Supplier M,R&D,Hardware,56759,2025-02-26,35792.19
PO-0430,Supplier N,Quality,Equipment,16824,2027-09-10,14586.57
PO-0431,Supplier O,Facilities,Lab Supplies,52766,2025-07-14,38377.81
PO-0432,Supplier P,IT,Consulting,99413,2025-07-05,89974.22
PO-0433,Supplier Q,Manufacturing,Software,53338,2027-09-15,52829.12
PO-0434,Supplier R,Clinical,Office Supplies,109486,2027-07-06,90426.67
PO-0435,Supplier S,Facilities,Reagents,92106,2027-05-18,90996.24
PO-0436,Supplier T,R&D,Consulting,107796,2025-10-02,66923.52
PO-0437,Supplier U,Quality,Reagents,124359,2027-04-30,123245.57
PO-0438,Supplier V,R&D,Equipment,20460,2025-03-21,12845.85
PO-0439,Supplier W,Facilities,Consulting,17823,2026-03-12,15831.03
PO-0440,Supplier X,Quality,Software,56716,2026-06-23,52549.62
PO-0441,Supplier Y,Manufacturing,Office Supplies,120064,2025-08-12,97892.36
PO-0442,Supplier Z,Manufacturing,Consulting,78476,2025-06-17,52068.98
PO-0443,Supplier A,Clinical,Equipment,42562,2027-06-06,32840.32
PO-0444,Supplier B,Clinical,Software,71785,2026-06-03,52897.85
PO-0445,Supplier C,IT,Equipment,98803,2025-03-09,81833.07
PO-0446,Supplier D,R&D,Software,148023,2026-12-05,138161.81
PO-0447,Supplier E,Quality,Office Supplies,29349,2025-04-16,19781.12
PO-0448,Supplier F,Clinical,Hardware,61976,2027-05-06,46263.16
PO-0449,Supplier G,Facilities,Equipment,103679,2025-07-27,93283.14
PO-0450,Supplier H,Quality,Office Supplies,137652,2026-06-27,137073.72
PO-0451,Supplier I,Quality,Office Supplies,83788,2025-07-20,75868.55
PO-0452,Supplier J,IT,Consulting,66612,2025-04-09,45641.15
PO-0453,Supplier K,Manufacturing,Reagents,113388,2025-12-03,84921.62
PO-0454,Supplier L,IT,Reagents,122573,2026-12-13,120208.35
PO-0455,Supplier M,Manufacturing,Software,107167,2026-09-16,67232.37
PO-0456,Supplier N,Facilities,Equipment,34039,2025-04-17,25515.98
PO-0457,Supplier O,Quality,Reagents,67236,2025-09-10,64337.46
PO-0458,Supplier P,Manufacturing,Software,37494,2025-12-27,26479.34
PO-0459,Supplier Q,Manufacturing,Reagents,147917,2025-02-20,117841.63
PO-0460,Supplier R,Finance,Hardware,64391,2027-01-26,44347.65
PO-0461,Supplier S,R&D,Consulting,14157,2025-03-12,11711.6
PO-0462,Supplier T,IT,Office Supplies,41052,2026-04-06,36241.0
PO-0463,Supplier U,Clinical,Lab Supplies,56650,2025-07-29,46199.88
PO-0464,Supplier V,Quality,Software,13323,2026-08-02,10750.96
PO-0465,Supplier W,Manufacturing,Hardware,17578,2025-06-09,15072.51
PO-0466,Supplier X,IT,Equipment,33680,2026-04-07,25482.18
PO-0467,Supplier Y,IT,Consulting,92598,2027-05-10,81668.84
PO-0468,Supplier Z,Manufacturing,Software,40126,2026-10-12,32605.73
PO-0469,Supplier A,IT,Software,8493,2026-11-08,5475.77
PO-0470,Supplier B,Facilities,Equipment,131217,2025-03-18,78756.4
PO-0471,Supplier C,Facilities,Reagents,29238,2027-06-28,22783.16
PO-0472,Supplier D,Quality,Lab Supplies,49544,2025-04-26,36342.02
PO-0473,Supplier E,Facilities,Software,9629,2025-07-31,7526.91
PO-0474,Supplier F,Quality,Software,47051,2027-03-25,36972.76
PO-0475,Supplier G,R&D,Equipment,91771,2027-08-22,90967.43
PO-0476,Supplier H,R&D,Lab Supplies,89014,2025-03-02,77768.67
PO-0477,Supplier I,R&D,Lab Supplies,59442,2027-07-04,50722.59
PO-0478,Supplier J,Finance,Office Supplies,80591,2027-07-21,76562.98
PO-0479,Supplier K,IT,Software,74474,2025-05-12,56477.57
PO-0480,Supplier L,Clinical,Reagents,97189,2025-07-30,95266.39
PO-0481,Supplier M,Manufacturing,Lab Supplies,93389,2026-07-17,74871.65
PO-0482,Supplier N,Manufacturing,Consulting,26681,2027-02-10,23461.77
PO-0483,Supplier O,R&D,Hardware,111065,2025-11-16,110520.14
PO-0484,Supplier P,Quality,Consulting,134044,2027-06-12,84913.79
PO-0485,Supplier Q,Finance,Hardware,6205,2025-07-17,3753.33
PO-0486,Supplier R,Quality,Office Supplies,100955,2025-12-02,66612.81
PO-0487,Supplier S,R&D,Office Supplies,20835,2027-06-07,16883.04
PO-0488,Supplier T,Quality,Consulting,24604,2025-02-18,24048.27
PO-0489,Supplier U,R&D,Equipment,78867,2025-12-28,58340.9
PO-0490,Supplier V,Facilities,Reagents,46805,2027-09-03,34216.96
PO-0491,Supplier W,Facilities,Hardware,34732,2025-04-11,27100.61
PO-0492,Supplier X,IT,Software,105497,2025-02-27,80001.38
PO-0493,Supplier Y,Manufacturing,Reagents,70756,2026-05-24,44585.68
PO-0494,Supplier Z,Quality,Office Supplies,63659,2027-05-03,52111.23
PO-0495,Supplier A,Finance,Lab Supplies,14547,2025-09-19,13224.44
PO-0496,Supplier B,Quality,Office Supplies,85458,2025-09-28,54474.23
PO-0497,Supplier C,Manufacturing,Equipment,41073,2027-04-14,28748.47
PO-0498,Supplier D,IT,Lab Supplies,117008,2026-05-31,85427.06
PO-0499,Supplier E,Facilities,Hardware,17224,2025-12-08,14985.43
PO-0500,Supplier F,R&D,Hardware,98183,2027-06-23,91465.52
PO-0501,Supplier G,R&D,Equipment,143587,2026-06-19,97433.88
PO-0502,Supplier H,IT,Consulting,147658,2026-01-29,129480.03
PO-0503,Supplier I,R&D,Equipment,72059,2026-04-27,57229.66
PO-0504,Supplier J,Clinical,Office Supplies,84339,2026-10-18,80539.24
PO-0505,Supplier K,Clinical,Consulting,31146,2027-01-07,30020.67
PO-0506,Supplier L,Clinical,Hardware,140438,2025-12-06,88914.83
PO-0507,Supplier M,Manufacturing,Reagents,111998,2027-06-17,93304.89
PO-0508,Supplier N,IT,Lab Supplies,146941,2026-02-17,98390.71
PO-0509,Supplier O,IT,Lab Supplies,111650,2026-12-16,100083.36
PO-0510,Supplier P,Clinical,Software,36508,2026-10-15,32072.73
PO-0511,Supplier Q,Facilities,Lab Supplies,140769,2025-05-01,129325.78
PO-0512,Supplier R,Clinical,Hardware,35331,2027-07-08,25355.28
PO-0513,Supplier S,Facilities,Lab Supplies,118649,2027-01-11,109209.39
PO-0514,Supplier T,Facilities,Consulting,127474,2026-03-29,120577.03
PO-0515,Supplier U,Facilities,Equipment,79851,2025-12-10,74270.11
PO-0516,Supplier V,Facilities,Office Supplies,120786,2027-07-27,78064.63
PO-0517,Supplier W,Finance,Hardware,43198,2025-07-24,40481.66
PO-0518,Supplier X,Facilities,Equipment,45151,2026-07-03,36359.26
PO-0519,Supplier Y,Facilities,Lab Supplies,139538,2027-05-05,113105.61
PO-0520,Supplier Z,Clinical,Reagents,78260,2027-08-24,59240.55
PO-0521,Supplier A,Manufacturing,Consulting,78428,2026-05-09,57398.53
PO-0522,Supplier B,Manufacturing,Consulting,21803,2027-08-15,17746.8
PO-0523,Supplier C,Finance,Reagents,66750,2027-03-13,43265.39
PO-0524,Supplier D,Manufacturing,Hardware,17478,2025-08-26,17122.44
PO-0525,Supplier E,Clinical,Equipment,134546,2026-10-27,107397.23
PO-0526,Supplier F,R&D,Consulting,107503,2026-01-16,83976.73
PO-0527,Supplier G,Finance,Hardware,131494,2025-05-16,112596.61
PO-0528,Supplier H,Clinical,Office Supplies,54446,2026-11-12,36374.11
PO-0529,Supplier I,Finance,Consulting,148554,2027-05-29,118624.48
PO-0530,Supplier J,Manufacturing,Consulting,72729,2027-04-26,64290.7
PO-0531,Supplier K,Manufacturing,Lab Supplies,17262,2025-08-05,12921.87
PO-0532,Supplier L,Quality,Software,115827,2027-06-19,77858.69
PO-0533,Supplier M,R&D,Equipment,39813,2025-10-23,26162.71
PO-0534,Supplier N,R&D,Reagents,53290,2026-11-04,40156.48
PO-0535,Supplier O,Manufacturing,Software,120397,2025-03-11,93428.26
PO-0536,Supplier P,Manufacturing,Consulting,110725,2027-04-17,95102.57
PO-0537,Supplier Q,Manufacturing,Software,113083,2027-03-27,90348.16
PO-0538,Supplier R,Quality,Reagents,140771,2026-04-21,117223.56
PO-0539,Supplier S,IT,Equipment,84444,2025-04-13,79356.54
PO-0540,Supplier T,Manufacturing,Consulting,99013,2025-10-09,70268.38
PO-0541,Supplier U,Facilities,Hardware,83869,2026-01-17,55649.76
PO-0542,Supplier V,R&D,Reagents,128083,2026-09-05,101867.5
PO-0543,Supplier W,Quality,Lab Supplies,108313,2026-03-15,82406.63
PO-0544,Supplier X,Facilities,Office Supplies,18664,2025-01-11,14467.58
PO-0545,Supplier Y,R&D,Software,40187,2027-03-03,25685.12
PO-0546,Supplier Z,Quality,Software,97909,2027-05-22,80268.87
PO-0547,Supplier A,Facilities,Software,5816,2025-11-02,3828.16
PO-0548,Supplier B,IT,Hardware,88525,2025-01-28,79641.6
PO-0549,Supplier C,R&D,Consulting,94022,2025-11-01,84806.68
PO-0550,Supplier D,Manufacturing,Reagents,58974,2027-06-11,43859.31
PO-0551,Supplier E,Finance,Reagents,17125,2026-06-08,16542.11
PO-0552,Supplier F,Quality,Consulting,26219,2027-07-24,16383.73
PO-0553,Supplier G,Manufacturing,Lab Supplies,60223,2026-03-22,48044.67
PO-0554,Supplier H,R&D,Reagents,118988,2026-03-14,87832.91
PO-0555,Supplier I,Quality,Software,27419,2027-04-24,25660.9
PO-0556,Supplier J,Quality,Hardware,83979,2026-06-13,67296.21
PO-0557,Supplier K,IT,Software,92410,2025-02-22,91061.72
PO-0558,Supplier L,R&D,Office Supplies,69432,2027-09-07,65945.8
PO-0559,Supplier M,Facilities,Hardware,43845,2027-04-19,30704.31
PO-0560,Supplier N,Quality,Reagents,49783,2027-03-07,31835.06
PO-0561,Supplier O,R&D,Software,138522,2026-04-10,99645.73
PO-0562,Supplier P,Facilities,Hardware,149867,2026-04-23,122396.26
PO-0563,Supplier Q,Clinical,Software,143877,2025-12-01,116388.02
PO-0564,Supplier R,Quality,Reagents,20429,2026-07-26,15525.39
PO-0565,Supplier S,Manufacturing,Hardware,49053,2026-06-04,33808.68
PO-0566,Supplier T,Finance,Hardware,141188,2026-03-26,95667.39
PO-0567,Supplier U,R&D,Hardware,114252,2026-09-26,85766.13
PO-0568,Supplier V,Manufacturing,Hardware,63573,2027-06-01,38582.97
PO-0569,Supplier W,Quality,Consulting,63082,2025-07-18,43450.62
PO-0570,Supplier X,Quality,Reagents,119140,2026-12-09,101277.49
PO-0571,Supplier Y,Manufacturing,Equipment,132084,2027-01-20,93992.7
PO-0572,Supplier Z,Facilities,Hardware,68112,2027-09-23,65022.47
PO-0573,Supplier A,R&D,Office Supplies,90964,2027-08-17,64524.1
PO-0574,Supplier B,Facilities,Hardware,30786,2025-05-15,22998.02
PO-0575,Supplier C,Clinical,Lab Supplies,99101,2026-07-31,79655.03
PO-0576,Supplier D,Facilities,Hardware,36037,2026-08-26,27133.82
PO-0577,Supplier E,Facilities,Equipment,59522,2026-10-02,47423.14
PO-0578,Supplier F,Quality,Lab Supplies,9223,2026-11-24,5943.25
PO-0579,Supplier G,Quality,Reagents,23402,2025-02-10,22182.53
PO-0580,Supplier H,IT,Consulting,130403,2025-02-03,98810.87
PO-0581,Supplier I,Quality,Lab Supplies,77491,2026-05-29,60347.69
PO-0582,Supplier J,Clinical,Hardware,132357,2025-11-08,123970.9
PO-0583,Supplier K,R&D,Hardware,139197,2025-09-15,88290.75
PO-0584,Supplier L,Facilities,Hardware,83037,2027-09-02,52301.87
PO-0585,Supplier M,R&D,Software,112236,2025-09-16,81491.58
PO-0586,Supplier N,Manufacturing,Office Supplies,111461,2027-03-22,105361.51
PO-0587,Supplier O,Clinical,Consulting,58149,2025-05-30,42403.93
PO-0588,Supplier P,Facilities,Office Supplies,11822,2025-01-01,9417.93
PO-0589,Supplier Q,Quality,Lab Supplies,69783,2025-05-26,55471.6
PO-0590,Supplier R,Clinical,Lab Supplies,123436,2025-01-07,75500.93
PO-0591,Supplier S,R&D,Software,59120,2027-03-24,52184.72
PO-0592,Supplier T,Facilities,Office Supplies,39565,2026-06-06,30586.47
PO-0593,Supplier U,Quality,Equipment,117740,2025-01-19,76785.05
PO-0594,Supplier V,Finance,Office Supplies,6074,2027-03-19,4787.08
PO-0595,Supplier W,Facilities,Office Supplies,124062,2027-03-20,119462.65
PO-0596,Supplier X,Finance,Office Supplies,52620,2025-06-01,34139.88
PO-0597,Supplier Y,Facilities,Equipment,11689,2025-07-10,7183.35
PO-0598,Supplier Z,Manufacturing,Software,111016,2027-04-16,75761.2
PO-0599,Supplier A,Finance,Consulting,5188,2026-03-11,5030.76
PO-0600,Supplier B,R&D,Hardware,42483,2026-10-24,28737.15
PO-0601,Supplier C,R&D,Software,79365,2026-04-18,75696.08
PO-0602,Supplier D,R&D,Lab Supplies,22882,2026-11-23,19600.51
PO-0603,Supplier E,Finance,Lab Supplies,60342,2026-05-28,43316.28
PO-0604,Supplier F,IT,Equipment,147490,2027-05-11,123177.02
PO-0605,Supplier G,Quality,Reagents,100426,2025-09-25,73777.04
PO-0606,Supplier H,R&D,Lab Supplies,63801,2025-08-31,55827.96
PO-0607,Supplier I,Finance,Reagents,34989,2027-09-08,23256.35
PO-0608,Supplier J,Facilities,Software,19949,2026-04-09,16034.31
PO-0609,Supplier K,IT,Lab Supplies,148379,2025-09-29,114681.02
PO-0610,Supplier L,Clinical,Software,15459,2025-04-29,9805.47
PO-0611,Supplier M,Clinical,Reagents,100323,2027-05-17,96405.18
PO-0612,Supplier N,Facilities,Office Supplies,115395,2025-05-17,109989.73
PO-0613,Supplier O,Manufacturing,Software,145962,2026-12-29,116829.03
PO-0614,Supplier P,Manufacturing,Lab Supplies,130829,2025-02-08,103001.19
PO-0615,Supplier Q,Finance,Hardware,34876,2027-08-14,24353.24
PO-0616,Supplier R,IT,Equipment,66325,2026-08-25,60639.56
PO-0617,Supplier S,R&D,Software,94708,2025-10-25,64016.72
PO-0618,Supplier T,Facilities,Lab Supplies,113254,2027-04-15,111486.73
PO-0619,Supplier U,Clinical,Hardware,10023,2025-01-03,6843.9
PO-0620,Supplier V,R&D,Software,27787,2025-05-13,24357.29
PO-0621,Supplier W,Quality,Consulting,97764,2026-12-30,60469.56
PO-0622,Supplier X,Clinical,Equipment,18077,2025-01-12,11608.85
PO-0623,Supplier Y,Clinical,Reagents,131625,2026-07-07,90576.43
PO-0624,Supplier Z,Clinical,Office Supplies,68546,2027-08-12,52556.95
PO-0625,Supplier A,R&D,Consulting,48615,2026-08-22,37530.21
PO-0626,Supplier B,Finance,Lab Supplies,36495,2025-03-25,22454.24
PO-0627,Supplier C,Finance,Office Supplies,8249,2026-09-01,8241.86
PO-0628,Supplier D,Quality,Hardware,33033,2026-09-13,22880.68
PO-0629,Supplier E,R&D,Lab Supplies,62399,2026-10-21,38710.13
PO-0630,Supplier F,IT,Equipment,139728,2025-08-16,132018.6
PO-0631,Supplier G,R&D,Reagents,115433,2025-07-23,88074.51
PO-0632,Supplier H,Facilities,Reagents,149727,2026-02-28,108200.15
PO-0633,Supplier I,Manufacturing,Reagents,131459,2025-08-01,123112.38
PO-0634,Supplier J,Facilities,Hardware,76648,2025-03-31,49458.96
PO-0635,Supplier K,IT,Office Supplies,7997,2026-09-20,6465.45
PO-0636,Supplier L,R&D,Software,99947,2027-07-12,89824.89
PO-0637,Supplier M,Facilities,Lab Supplies,84025,2026-11-30,53315.11
PO-0638,Supplier N,Manufacturing,Office Supplies,17768,2026-08-19,15327.46
PO-0639,Supplier O,Manufacturing,Reagents,53418,2025-03-05,41521.67
PO-0640,Supplier P,Finance,Reagents,125329,2026-12-21,87529.6
PO-0641,Supplier Q,Facilities,Office Supplies,105844,2026-07-22,75380.49
PO-0642,Supplier R,Clinical,Lab Supplies,35098,2026-07-12,28851.38
PO-0643,Supplier S,Facilities,Office Supplies,14694,2026-01-31,14216.72
PO-0644,Supplier T,IT,Lab Supplies,84017,2026-05-01,71564.45
PO-0645,Supplier U,Facilities,Equipment,75583,2025-09-30,71193.56
PO-0646,Supplier V,IT,Software,15902,2025-07-08,13433.04
PO-0647,Supplier W,Quality,Lab Supplies,145309,2025-06-21,117362.99
PO-0648,Supplier X,IT,Consulting,12974,2026-12-26,11458.44
PO-0649,Supplier Y,Finance,Reagents,114723,2026-06-01,103574.31
PO-0650,Supplier Z,Manufacturing,Lab Supplies,106781,2025-08-04,66937.67
PO-0651,Supplier A,Facilities,Reagents,136397,2027-06-04,129847.96
PO-0652,Supplier B,R&D,Hardware,130867,2026-08-24,82475.02
PO-0653,Supplier C,R&D,Hardware,117847,2027-09-05,103218.49
PO-0654,Supplier D,Manufacturing,Reagents,35876,2027-07-31,29301.18
PO-0655,Supplier E,Facilities,Hardware,73519,2025-12-23,46771.84
PO-0656,Supplier F,Quality,Software,102613,2025-10-24,92184.36
PO-0657,Supplier G,R&D,Software,142688,2026-10-16,120715.62
PO-0658,Supplier H,Facilities,Hardware,14581,2025-11-20,12489.65
PO-0659,Supplier I,Manufacturing,Reagents,20369,2025-02-21,12671.26
PO-0660,Supplier J,Manufacturing,Equipment,9098,2027-06-29,8110.19
PO-0661,Supplier K,Facilities,Consulting,52896,2027-04-29,35331.83
PO-0662,Supplier L,IT,Equipment,5151,2026-02-05,3333.6
PO-0663,Supplier M,Quality,Hardware,41973,2026-01-15,27111.72
PO-0664,Supplier N,Finance,Office Supplies,87014,2025-07-13,71250.72
PO-0665,Supplier O,IT,Equipment,19919,2025-11-04,17476.48
PO-0666,Supplier P,Quality,Hardware,64031,2026-03-06,48010.54
PO-0667,Supplier Q,R&D,Lab Supplies,145715,2027-06-27,139515.08
PO-0668,Supplier R,Finance,Office Supplies,43869,2026-06-21,36946.3
PO-0669,Supplier S,Finance,Hardware,125638,2025-03-20,98624.68
PO-0670,Supplier T,Facilities,Lab Supplies,30519,2025-03-28,19586.41
PO-0671,Supplier U,Facilities,Equipment,27673,2027-05-09,26930.48
PO-0672,Supplier V,Clinical,Consulting,125402,2026-02-23,119174.16
PO-0673,Supplier W,Manufacturing,Consulting,59173,2027-07-16,37143.27
PO-0674,Supplier X,Facilities,Equipment,58829,2026-03-25,57820.27
PO-0675,Supplier Y,Finance,Office Supplies,120586,2027-07-20,108907.72
PO-0676,Supplier Z,Manufacturing,Reagents,80504,2026-05-13,68225.39
PO-0677,Supplier A,Facilities,Software,106161,2025-07-12,82078.69
PO-0678,Supplier B,Quality,Hardware,31305,2025-02-06,28829.85
PO-0679,Supplier C,R&D,Software,72061,2025-01-25,45539.5
PO-0680,Supplier D,IT,Office Supplies,141070,2026-08-14,113356.5
PO-0681,Supplier E,Clinical,Lab Supplies,91598,2025-10-17,63172.93
PO-0682,Supplier F,Facilities,Lab Supplies,17741,2026-10-23,13819.63
PO-0683,Supplier G,IT,Reagents,137429,2026-01-09,83859.97
PO-0684,Supplier H,Quality,Consulting,14400,2026-08-13,10031.81
PO-0685,Supplier I,Manufacturing,Hardware,125943,2026-03-16,118904.49
PO-0686,Supplier J,Clinical,Reagents,73003,2027-07-13,54361.21
PO-0687,Supplier K,Manufacturing,Lab Supplies,36991,2026-07-08,28621.73
PO-0688,Supplier L,R&D,Equipment,81637,2026-03-10,63644.23
PO-0689,Supplier M,Manufacturing,Lab Supplies,28678,2025-01-05,19107.31
PO-0690,Supplier N,R&D,Lab Supplies,7281,2027-09-01,6735.48
PO-0691,Supplier O,Clinical,Lab Supplies,143136,2027-07-25,138514.24
PO-0692,Supplier P,Quality,Reagents,63302,2026-04-04,49832.06
PO-0693,Supplier Q,Finance,Office Supplies,60220,2025-07-26,46434.12
PO-0694,Supplier R,Manufacturing,Office Supplies,123263,2027-01-09,105134.42
PO-0695,Supplier S,Quality,Reagents,59829,2026-04-11,53469.18
PO-0696,Supplier T,Finance,Equipment,109642,2025-02-09,101799.72
PO-0697,Supplier U,IT,Consulting,12120,2025-12-18,8262.63
PO-0698,Supplier V,Manufacturing,Hardware,42639,2025-10-01,31244.28
PO-0699,Supplier W,Manufacturing,Hardware,39490,2026-12-11,25810.4
PO-0700,Supplier X,IT,Software,141015,2025-07-19,85694.7
PO-0701,Supplier Y,Manufacturing,Consulting,121610,2025-01-31,78028.09
PO-0702,Supplier Z,IT,Reagents,125852,2026-09-27,82356.49
PO-0703,Supplier A,Quality,Equipment,61429,2027-05-14,55772.68
PO-0704,Supplier B,Facilities,Office Supplies,68728,2026-06-12,60095.58
PO-0705,Supplier C,R&D,Equipment,54344,2026-07-30,41219.83
PO-0706,Supplier D,Quality,Equipment,38018,2026-01-18,33239.01
PO-0707,Supplier E,Clinical,Hardware,8527,2026-09-12,6053.57
PO-0708,Supplier F,R&D,Hardware,79699,2025-04-04,75444.7
PO-0709,Supplier G,Clinical,Lab Supplies,125934,2026-04-03,79624.88
PO-0710,Supplier H,Quality,Reagents,15944,2027-08-09,12645.6
PO-0711,Supplier I,Facilities,Lab Supplies,102324,2027-05-25,78035.86
PO-0712,Supplier J,Facilities,Reagents,130729,2026-07-05,124452.05
PO-0713,Supplier K,R&D,Lab Supplies,53477,2025-04-30,38936.32
PO-0714,Supplier L,IT,Lab Supplies,41005,2027-01-23,36502.26
PO-0715,Supplier M,Quality,Hardware,30943,2025-06-19,27060.66
PO-0716,Supplier N,R&D,Hardware,55709,2026-01-07,48128.88
PO-0717,Supplier O,Clinical,Lab Supplies,126807,2027-05-07,107470.54
PO-0718,Supplier P,IT,Consulting,95316,2025-06-28,84982.61
PO-0719,Supplier Q,Clinical,Hardware,58863,2026-07-06,53404.49
PO-0720,Supplier R,R&D,Equipment,68710,2027-02-28,56014.28
PO-0721,Supplier S,Clinical,Software,96461,2025-10-05,94391.2
PO-0722,Supplier T,Clinical,Software,113031,2027-05-23,109507.6
PO-0723,Supplier U,R&D,Reagents,23999,2026-02-10,17972.41
PO-0724,Supplier V,Facilities,Consulting,69324,2027-05-21,63667.94
PO-0725,Supplier W,R&D,Office Supplies,7362,2026-07-28,5269.28
PO-0726,Supplier X,Manufacturing,Consulting,134511,2025-08-06,107135.36
PO-0727,Supplier Y,Finance,Software,101426,2025-06-10,61968.81
PO-0728,Supplier Z,R&D,Software,117438,2027-09-04,101838.08
PO-0729,Supplier A,Quality,Hardware,98983,2026-02-08,68245.01
PO-0730,Supplier B,IT,Software,31976,2025-03-03,22910.47
PO-0731,Supplier C,Facilities,Reagents,63143,2025-11-27,57913.24
PO-0732,Supplier D,IT,Software,39554,2025-03-01,26739.58
PO-0733,Supplier E,IT,Software,64477,2026-12-06,57008.24
PO-0734,Supplier F,Quality,Hardware,139980,2025-05-28,125564.7
PO-0735,Supplier G,Clinical,Equipment,86189,2025-02-01,78825.33
PO-0736,Supplier H,Manufacturing,Software,44660,2025-02-28,29014.52
PO-0737,Supplier I,Finance,Hardware,117061,2026-09-11,102325.56
PO-0738,Supplier J,IT,Hardware,35272,2026-03-05,33224.07
PO-0739,Supplier K,Clinical,Hardware,99354,2025-11-23,97321.02
PO-0740,Supplier L,Manufacturing,Software,105370,2025-09-24,80374.9
PO-0741,Supplier M,IT,Software,44987,2027-06-30,37910.2
PO-0742,Supplier N,R&D,Hardware,28411,2026-06-10,17860.9
PO-0743,Supplier O,IT,Hardware,96119,2026-01-12,78100.85
PO-0744,Supplier P,Facilities,Reagents,61331,2025-09-04,42208.69
PO-0745,Supplier Q,IT,Consulting,32575,2027-03-10,20078.09
PO-0746,Supplier R,Quality,Consulting,72348,2026-08-11,66743.7
PO-0747,Supplier S,Finance,Equipment,14394,2025-11-30,9905.04
PO-0748,Supplier T,Finance,Equipment,91199,2025-06-22,89763.05
PO-0749,Supplier U,Manufacturing,Equipment,11871,2026-09-10,9008.79
PO-0750,Supplier V,Finance,Equipment,119413,2027-01-10,78524.9
